Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor	Franchise
1	Avengers: Endgame	$858,373,000	4,662	$357,115,007	4,662	Apr 26, 2019	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
2	Spider-Man: No Way Home	$804,310,488	4,336	$260,138,569	4,336	Dec 17, 2021	Sony Pictures Entertainment (SPE)	Marvel Cinematic Universe
3	Black Panther	$700,059,566	4,084	$202,003,951	4,020	Feb 16, 2018	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
4	Avengers: Infinity War	$678,815,482	4,474	$257,698,183	4,474	April 27, 2018	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
5	The Avengers	$623,357,910	4,349	$207,438,708	4,349	May 4, 2012	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
6	Avengers: Age of Ultron	$459,005,868	4,276	$191,271,109	4,276	May 1, 2015	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
7	Captain Marvel	$426,829,839	4,310	$153,433,423	4,310	March 8, 2019	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
8	Iron Man 3	$409,013,994	4,253	$174,144,585	4,253	May 3, 2013	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
9	Captain America: Civil War	$408,084,349	4,226	$179,139,142	4,226	May 6, 2016	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
10	Spider-Man: Far from Home	$390,532,085	4,634	$92,579,212	4,634	July 2, 2019	Sony Pictures Entertainment (SPE)	Marvel Cinematic Universe
11	Guardians of the Galaxy Vol. 2	$389,813,101	4,347	$146,510,104	4,347	May 5, 2017	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
12	Spider-Man: Homecoming	$334,201,140	4,348	$117,027,503	4,348	Jul 7, 2017	Sony Pictures Entertainment (SPE)	Marvel Cinematic Universe
13	Guardians of the Galaxy	$333,176,600	4,088	$94,320,883	4,080	August 1, 2014	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
14	Iron Man	$318,604,126	4,154	$98,618,668	4,105	May 2, 2008	Paramount Pictures	Marvel Cinematic Universe
15	Thor: Ragnarok	$315,058,289	4,080	$122,744,989	4,080	November 3, 2017	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
16	Iron Man 2	$312,433,331	4,390	$128,122,480	4,380	May 7, 2010	Paramount Pictures	Marvel Cinematic Universe
17	Captain America: The Winter Soldier	$259,766,572	3,938	$95,023,721	3,938	Apr 4, 2014	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
18	Doctor Strange	$232,641,920	3,882	$85,058,311	3,882	Nov 4, 2016	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
19	Shang-Chi and the Legend of the Ten Rings	$224,543,292	4,300	$75,388,688	4,300	Sep 3, 2021	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
20	Ant-Man and the Wasp	$216,648,740	4,206	$75,812,205	4,206	July 6, 2018	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
21	Thor: The Dark World	$206,362,140	3,841	$85,737,841	3,841	Nov 8, 2013	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
22	Black Widow	$183,651,655	4,275	$80,366,312	4,160	Jul 9, 2021	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
23	Thor	$181,030,624	3,963	$65,723,338	3,955	May 6, 2011	Paramount Pictures	Marvel Cinematic Universe
24	Ant-Man	$180,202,163	3,868	$57,225,526	3,856	Jul 17, 2015	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
25	Captain America: The First Avenger	$176,654,505	3,715	$65,058,524	3,715	July 22, 2011	Paramount Pictures	Marvel Cinematic Universe
26	Eternals	$164,870,234	4,090	$71,297,219	4,090	Nov 5, 2021	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
27	The Incredible Hulk	$134,806,913	3,508	$55,414,050	3,505	Jun 13, 2008	Universal Pictures	Marvel Cinematic Universe
28	Guardians of the Galaxy2020 Re-release	$542,000	1,560	$406,000	1,560	Nov 13, 2020	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
29	Iron Man2020 Re-release	$430,000	462	$430,000	462	Jul 17, 2020	Walt Disney Pictures	Marvel Cinematic Universe
30	Black Panther2020 Re-release	$367,000	421	$367,000	421	Jul 10, 2020	Walt Disney Pictures	Marvel Cinematic Universe
-	Doctor Strange in the Multiverse of Madness	-	-	-	-	May 6, 2022	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
-	Black WidowStreaming - PVOD	-	-	-	-	Jul 9, 2021	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
-	Thor: Love and Thunder	-	-	-	-	July 8, 2022	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
-	Ant-Man and the Wasp: Quantumania	-	-	-	-	Jul 28, 2023	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
-	Guardians of the Galaxy Vol. 3	-	-	-	-	May 5, 2023	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
-	Black Panther: Wakanda Forever	-	-	-	-	Nov 11, 2022	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe
-	The Marvels	-	-	-	-	Feb 17, 2023	Walt Disney Studios Motion Pictures	Marvel Cinematic Universe